avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id
246,NULL,NULL,0.866838,6,NULL,medium,0.134415,Left,4,124467
134,NULL,NULL,0.555718,2,NULL,low,0.511041,Left,3,112210
156,D00-SS,1,0.474082,2,NULL,medium,0.405101,Left,3,126150
256,D00-SP,NULL,0.96136,6,NULL,low,0.152974,Left,4,125346
146,D00-SS,NULL,0.507349,2,NULL,medium,0.434845,Left,3,113707
135,D00-MT,NULL,0.482184,2,NULL,low,0.381545,Left,3,121685
270,D00-PD,NULL,0.867087,6,NULL,low,0.172575,Left,4,119912
244,D00-IT,NULL,0.926197,6,NULL,medium,0.0618684,Left,5,112868
289,D00-IT,NULL,0.929858,7,NULL,low,0.161744,Left,4,122314
281,D00-SS,NULL,0.907965,6,NULL,medium,0.105749,Left,4,122394
269,D00-SP,NULL,0.867086,6,NULL,low,0.121133,Left,4,119750
267,D00-SP,NULL,0.953585,5,NULL,low,0.87131,Left,6,119512
257,D00-AD,NULL,0.886631,5,NULL,low,0.265318,Left,5,118061
155,D00-MT,NULL,0.521682,2,NULL,low,0.387475,Left,3,111718
269,D00-SS,NULL,0.959077,4,NULL,medium,0.960757,Left,5,126860
244,D00-MN,NULL,0.943946,7,NULL,medium,0.171328,Left,4,117404
256,D00-SS,NULL,0.897617,5,NULL,medium,0.753731,Left,5,110655
128,D00-SS,NULL,0.504768,2,NULL,medium,0.485149,Left,3,111708
274,D00-PD,NULL,1,5,NULL,low,0.799562,Left,5,124926
155,D00-SS,NULL,0.440299,2,NULL,low,0.415771,Left,3,128624
151,D00-SS,NULL,0.448019,2,NULL,low,0.42688,Left,3,125108
127,D00-ENG,NULL,NULL,2,NULL,low,0.370515,Left,3,114322
151,D00-MT,NULL,0.531487,2,NULL,low,0.390047,Left,3,111365
132,D00-SS,NULL,0.566959,5,NULL,low,0.293481,Left,5,123197
128,D00-ENG,NULL,0.499776,2,NULL,low,0.335383,Left,3,113448
155,NULL,NULL,0.464598,2,NULL,medium,0.414451,Left,3,127792
309,D00-ENG,NULL,0.78484,6,NULL,low,0.0785233,Left,4,127317
130,D00-MT,NULL,0.463049,2,NULL,low,0.401826,Left,3,119126
156,NULL,NULL,NULL,2,NULL,medium,0.465747,Left,3,128509
233,D00-ENG,NULL,0.936729,4,NULL,low,0.899675,Left,6,120875
245,D00-ENG,NULL,0.877779,5,NULL,low,0.904697,Left,5,115993
149,D00-AD,NULL,0.505405,2,NULL,low,0.451832,Left,3,111875
232,D00-ENG,NULL,0.911595,4,NULL,medium,0.805368,Left,5,115848
134,D00-MT,NULL,0.442766,2,NULL,medium,0.379221,Left,3,125664
284,D00-SS,NULL,0.852702,6,NULL,low,0.0691683,Left,4,0
249,D00-MT,NULL,0.847301,4,NULL,low,0.909059,Left,6,126241
257,D00-SS,NULL,0.889916,5,NULL,low,0.857449,Left,5,114810
164,D00-SS,NULL,0.681106,3,NULL,low,0.765486,Left,3,122449
159,D00-PR,NULL,0.552437,2,NULL,low,0.467246,Left,3,120537
154,D00-SP,NULL,NULL,2,1,medium,0.440152,Left,3,110293
233,NULL,NULL,0.965382,5,NULL,medium,0.962314,Left,5,125077
239,D00-AD,NULL,0.927427,5,NULL,medium,0.783737,Left,5,127589
257,D00-SS,NULL,0.990937,5,NULL,low,0.751387,Left,6,123038
260,NULL,NULL,1,5,NULL,low,0.808455,Left,5,128184
125,D00-TP,NULL,NULL,3,NULL,medium,NULL,Left,NULL,120360
308,D00-FN,NULL,0.736991,7,NULL,low,0.0807958,Left,4,121453
239,D00-SS,NULL,0.906676,4,NULL,low,0.737457,Left,5,126451
306,D00-SS,NULL,0.830333,6,NULL,high,0.0674799,Left,4,126317
141,D00-SS,NULL,0.462141,2,NULL,low,0.435337,Left,3,120175
159,D00-ENG,NULL,NULL,2,NULL,high,0.375978,Left,3,111951
143,D00-SP,NULL,0.512455,2,NULL,medium,0.484244,Left,3,111423
270,D00-ENG,NULL,0.915772,5,NULL,medium,0.871095,Left,5,124781
261,D00-SP,NULL,0.832946,6,NULL,low,0.115881,Left,4,114831
301,D00-ENG,NULL,0.737223,4,NULL,low,0.464158,Left,5,112846
296,D00-SS,NULL,0.87755,7,NULL,low,0.136835,Left,4,128630
271,D00-SS,NULL,0.891916,5,NULL,low,0.179432,Left,4,120770
244,D00-MT,NULL,0.787106,6,NULL,low,0.113983,Left,4,112282
129,D00-SS,NULL,NULL,2,NULL,low,0.447517,Left,3,125903
290,D00-FN,NULL,0.808025,6,NULL,medium,0.059197,Left,4,129594
290,D00-ENG,NULL,0.770248,6,NULL,medium,0.0903428,Left,4,117772
249,D00-SP,NULL,0.997662,4,NULL,low,0.805852,Left,5,110508
151,D00-ENG,NULL,0.506563,2,NULL,medium,0.35549,Left,3,112452
225,D00-SS,NULL,0.893351,4,NULL,medium,0.814574,Left,5,128219
253,D00-ENG,NULL,1,5,NULL,medium,0.852952,Left,5,126639
269,D00-FN,NULL,0.932009,6,NULL,medium,0.0633131,Left,4,123331
274,D00-ENG,NULL,0.944104,6,NULL,low,0.159258,Left,4,118903
155,D00-MT,NULL,0.536342,2,NULL,low,0.43599,Left,3,118983
255,D00-SP,NULL,0.917034,7,NULL,low,0.150519,Left,4,115221
149,D00-PD,NULL,0.607982,6,NULL,low,0.471637,Left,4,129163
271,D00-SS,NULL,0.64205,3,NULL,low,0.418694,Left,4,124226
268,D00-ENG,NULL,0.922942,6,NULL,medium,0.0650439,Left,4,114776
153,NULL,NULL,NULL,2,NULL,low,0.455101,Left,3,121337
294,NULL,NULL,0.587699,3,NULL,low,0.76039,Left,4,119768
293,D00-SP,NULL,0.857715,6,NULL,low,0.141662,Left,4,113143
309,D00-ENG,NULL,0.908443,7,NULL,low,0.1035,Left,4,126535
235,D00-IT,NULL,0.957642,5,NULL,low,0.725715,Left,5,126561
158,D00-IT,NULL,0.546333,2,NULL,low,0.391487,Left,3,115017
273,D00-SP,NULL,0.734583,3,NULL,low,0.520728,Left,6,128872
277,D00-IT,NULL,0.9496,2,NULL,medium,0.723212,Left,3,112281
290,D00-SS,NULL,0.859528,7,NULL,low,0.127906,Left,4,111435
267,D00-SP,NULL,0.801303,5,NULL,medium,0.858963,Left,5,111357
249,D00-SP,NULL,0.997918,4,NULL,medium,0.811695,Left,6,125156
127,D00-IT,NULL,0.568392,2,NULL,low,0.455544,Left,3,120189
245,D00-SS,NULL,0.904587,4,NULL,low,0.724119,Left,6,124725
198,D00-AD,1,0.571508,5,NULL,low,0.63736,Left,5,124761
